CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
48010,VIA ARMANDO PICA,21,9,P,N,2,10
58420,VIA SILVIO SIBONA,5,5,P,R,4F,12
8430,VIA SAN BRUNONE,5,5,D,N,3,15
47420,VIA PIACENZA,19,4,P,N,68,186
48600,VIALE ALLA PINETA,3,7,D,N,1,13
1830,VIA ALLE ANTICHE BRATTE,7,5,P,N,0X,0X
5860,VIA EGISTO BEZZI,5,5,P,R,2,18
53120,PIAZZA AUGUSTO RIGHI,1,7,D,R,1,7
61330,VIA TIGULLIO,24,9,D,N,1,3
17740,PIAZZA COSMA CLAVARINO,4,6,D,N,3,5
15980,VIA DI SANTA CHIARA,14,1,D,R,9,53
32620,VIA ALBERICO LANFRANCO,21,9,D,N,25,97
19060,VIA CORONATA,8,6,P,R,2,122
57560,VICO DI SCURRERIA LA VECCHIA,12,1,P,N,2,4
16120,VIA PIETRO CHIESA,9,2,P,R,4,52
3400,VIA DI BALACLAVA,12,1,D,N,9,15
43840,VIA ORATORIO DI BORZOLI,4,6,P,N,2,12
37300,VICO PELLEGRO MARUFFO,1,7,D,R,1,9
6000,VIA ORLANDO BIANCHI,15,8,D,N,1,11
63820,PIAZZA GIUSEPPE VERDI,14,1,P,N,4,6
64840,PIAZZA VIRGO POTENS,4,6,P,R,2,10
60680,VIA TORQUATO TASSO,5,5,D,R,1,15
44640,VIA PAGGI,16,3,P,N,2,76
53580,PIAZZA BATTISTINO RIVARA,5,5,D,R,1,15
38170,VIA BENITO MERLANTI,21,9,P,N,2,24
51880,VIA QUINTO,25,9,D,R,3,11
25540,VIA DEI FIORI,22,8,D,N,1,7A
3760,PIAZZA BANDIERA,12,1,P,N,2,2
14980,VIA DELLA CELLA,9,2,D,R,1,123
44380,SCALINATA ALL'OSSERVATORIO,11,1,D,N,1,1
57260,PIAZZA ANTONIO SCIOLLA,25,9,P,N,2,2
41510,VIA WOLFGANG AMADEUS MOZART,5,5,P,N,2,6
63180,VICO VALORIA,12,1,D,R,1,23
38480,VIA FRANCESCO MIGNONE,21,9,P,R,10,30
50200,VIA PONZA,11,1,P,N,2,30
3200,VIA FEDERICO AVIO,9,2,D,R,1,47
39520,VIA TULLIO MOLTENI,9,2,P,N,2,4
38780,VIA MIRA,15,8,P,R,2,16
25560,VIA A FIORINO,1,7,D,N,1,45
43600,SALITA DELL'OMBRA,21,9,P,N,14,14
58100,VIA DI SERRETTO,23,8,D,R,35,53
5020,SALITA BELVEDERE,9,2,D,N,1,19
2960,VIALE ASPROMONTE,14,1,P,N,2,68
24680,VIA SAN FELICE,19,4,D,R,1,169
64080,VIA VESUVIO,11,1,P,R,2,232
51780,VIA QUARTO,24,9,D,N,1,47A
57520,VICO DELLE SCUOLE PIE,12,1,P,N,2,8
15180,VIA ANGELO CEPPI DI BAIROLO,10,2,D,R,1,31
36400,SALITA DI SANTA MARIA DELLA SANITA',13,1,D,N,41,51
21080,VIA GIOVANNI DANEO,17,3,D,N,1,125
42130,VIA PIETRO NENNI,25,9,P,N,4,116
7460,VIA BOSCO DI MOLASSANA,19,4,D,R,1,1
23710,VIA RINALDO ENRICO,6,5,D,N,9,11
58980,CORSO SOLFERINO,13,1,P,R,4,14
14780,PIAZZETTA CAVE DI SELZ,4,6,P,R,2,6
16800,SCALINATA DOMENICO CHIODO,13,1,P,N,2,24
46480,VIA ANTICA ROMANA DI PEGLI,3,7,P,R,30,40
90270,MERCATO INDUSTRIA,9,2,P,N,0,0
60980,VICO DEL TEMPO BUONO,12,1,P,R,10,12
53420,VIA RIPA DI GATTEGO,25,9,P,N,2,4
41000,VIA MONTE ZOVETTO,23,8,P,R,2,60
